player_id,game_date,stat,line,direction,predicted_prob,hit
"(1626181, '2024-25')",2024-11-11,PRA,32,over,0.3939,1
"(1628983, '2024-25')",2024-11-11,POINTS,26,over,0.5437,1
"(1628983, '2024-25')",2024-11-11,REBOUNDS,6,over,0.5162,0
"(1628983, '2024-25')",2024-11-11,ASSISTS,6,under,0.3975,0
"(1628983, '2024-25')",2024-11-11,PRA,38,under,0.4634,0
"(1629652, '2024-25')",2024-11-11,POINTS,11,under,0.436,0
"(1629652, '2024-25')",2024-11-11,REBOUNDS,4,under,0.4983,1
"(1629652, '2024-25')",2024-11-11,ASSISTS,2,under,0.4712,1
"(1629652, '2024-25')",2024-11-11,PRA,16,over,0.5452,1
"(1631172, '2024-25')",2024-11-11,POINTS,4,over,0.492,0
"(1631172, '2024-25')",2024-11-11,REBOUNDS,3,over,0.6372,0
"(1631172, '2024-25')",2024-11-11,ASSISTS,1,under,0.3602,0
"(1631172, '2024-25')",2024-11-11,PRA,8,under,0.457,1
"(1629611, '2024-25')",2024-11-11,POINTS,5,under,0.4686,1
"(1629611, '2024-25')",2024-11-11,REBOUNDS,4,under,0.3761,0
"(1629611, '2024-25')",2024-11-11,ASSISTS,2,over,0.533,0
"(1629611, '2024-25')",2024-11-11,PRA,11,over,0.4485,0
"(1627739, '2024-25')",2024-11-11,POINTS,7,over,0.4579,1
"(1627739, '2024-25')",2024-11-11,REBOUNDS,4,under,0.4045,0
"(1627739, '2024-25')",2024-11-11,ASSISTS,2,under,0.3818,0
"(1627739, '2024-25')",2024-11-11,PRA,13,over,0.4276,1
"(1627884, '2024-25')",2024-11-11,POINTS,10,under,0.4975,0
"(1627884, '2024-25')",2024-11-11,REBOUNDS,3,over,0.6459,1
"(1627884, '2024-25')",2024-11-11,ASSISTS,1,under,0.3904,0
"(1627884, '2024-25')",2024-11-11,PRA,14,under,0.4948,0
"(1627936, '2024-25')",2024-11-11,POINTS,4,under,0.4742,0
"(1627936, '2024-25')",2024-11-11,REBOUNDS,3,under,0.4556,1
"(1627936, '2024-25')",2024-11-11,ASSISTS,3,under,0.4856,1
"(1627936, '2024-25')",2024-11-11,PRA,9,over,0.5925,1
"(1630198, '2024-25')",2024-11-11,POINTS,10,under,0.4157,0
"(1630198, '2024-25')",2024-11-11,REBOUNDS,3,over,0.6535,1
"(1630198, '2024-25')",2024-11-11,ASSISTS,2,under,0.5017,0
"(1630198, '2024-25')",2024-11-11,PRA,15,under,0.4606,0
"(1641717, '2024-25')",2024-11-11,POINTS,8,under,0.4772,1
"(1641717, '2024-25')",2024-11-11,REBOUNDS,3,under,0.3449,1
"(1641717, '2024-25')",2024-11-11,ASSISTS,1,over,0.6756,1
"(1641717, '2024-25')",2024-11-11,PRA,12,under,0.4135,1
"(201935, '2024-25')",2024-11-11,POINTS,21,over,0.4311,0
"(201935, '2024-25')",2024-11-11,REBOUNDS,8,under,0.3704,0
"(201935, '2024-25')",2024-11-11,ASSISTS,9,under,0.5501,0
"(201935, '2024-25')",2024-11-11,PRA,38,over,0.4063,0
"(1629645, '2024-25')",2024-11-11,POINTS,8,under,0.4996,0
"(1629645, '2024-25')",2024-11-11,REBOUNDS,4,over,0.5739,0
"(1629645, '2024-25')",2024-11-11,ASSISTS,3,over,0.5298,0
"(1629645, '2024-25')",2024-11-11,PRA,15,under,0.5497,1
"(1630598, '2024-25')",2024-11-11,POINTS,10,over,0.5275,1
"(1630598, '2024-25')",2024-11-11,REBOUNDS,4,over,0.5255,1
"(1630598, '2024-25')",2024-11-11,ASSISTS,2,over,0.6952,1
"(1630598, '2024-25')",2024-11-11,PRA,16,over,0.5893,1
"(1642349, '2024-25')",2024-11-11,POINTS,6,under,0.402,1
"(1642349, '2024-25')",2024-11-11,REBOUNDS,2,under,0.4288,1
"(1642349, '2024-25')",2024-11-11,ASSISTS,2,over,0.6084,0
"(1642349, '2024-25')",2024-11-11,PRA,9,under,0.4415,1
"(1631114, '2024-25')",2024-11-11,POINTS,19,over,0.5459,1
"(1631114, '2024-25')",2024-11-11,REBOUNDS,6,under,0.4523,0
"(1631114, '2024-25')",2024-11-11,ASSISTS,5,under,0.4821,0
"(1631114, '2024-25')",2024-11-11,PRA,30,under,0.4461,0
"(1629599, '2024-25')",2024-11-11,POINTS,9,over,0.512,1
"(1629599, '2024-25')",2024-11-11,REBOUNDS,2,under,0.3336,0
"(1629599, '2024-25')",2024-11-11,ASSISTS,1,over,0.5046,1
"(1629599, '2024-25')",2024-11-11,PRA,12,under,0.522,0
"(1626168, '2024-25')",2024-11-11,POINTS,4,over,0.5328,1
"(1626168, '2024-25')",2024-11-11,REBOUNDS,3,over,0.6573,1
"(1626168, '2024-25')",2024-11-11,ASSISTS,1,over,0.5078,0
"(1626168, '2024-25')",2024-11-11,PRA,7,under,0.4781,0
"(1628368, '2024-25')",2024-11-11,POINTS,24,over,0.5421,1
"(1628368, '2024-25')",2024-11-11,REBOUNDS,5,under,0.342,0
"(1628368, '2024-25')",2024-11-11,ASSISTS,5,under,0.4865,1
"(1628368, '2024-25')",2024-11-11,PRA,34,over,0.5072,0
"(1628380, '2024-25')",2024-11-11,POINTS,6,under,0.3509,1
"(1628380, '2024-25')",2024-11-11,REBOUNDS,3,over,0.6048,0
"(1628380, '2024-25')",2024-11-11,ASSISTS,2,under,0.2497,1
"(1628380, '2024-25')",2024-11-11,PRA,11,over,0.6096,0
"(1642264, '2024-25')",2024-11-11,POINTS,9,under,0.421,0
"(1642264, '2024-25')",2024-11-11,REBOUNDS,3,under,0.5199,0
"(1642264, '2024-25')",2024-11-11,ASSISTS,2,under,0.2639,0
"(1642264, '2024-25')",2024-11-11,PRA,14,under,0.4569,0
"(1631099, '2024-25')",2024-11-11,POINTS,14,under,0.5262,1
"(1631099, '2024-25')",2024-11-11,REBOUNDS,9,over,0.5176,0
"(1631099, '2024-25')",2024-11-11,ASSISTS,2,over,0.5143,0
